seed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
google/multiberts-seed_10,0.4419679641723633,0.43731561303138733,0.4439336955547333,0.44354522228240967,0.44115689396858215,0.44214990735054016,0.4415678083896637,0.44151216745376587,0.4443913996219635,2.2330002784729004,0.44141361117362976,0.4373960494995117,0.44007977843284607,0.43760591745376587,0.5194957256317139,0.44329866766929626
google/multiberts-seed_11,0.40080273151397705,0.37939584255218506,4.330756187438965,0.3775499761104584,0.3758768141269684,0.37637677788734436,1.6622917652130127,0.37874019145965576,0.376585990190506,0.3765293061733246,0.37669405341148376,0.37709447741508484,0.4075113534927368,0.3776523470878601,0.3774387240409851,0.3773176372051239
google/multiberts-seed_12,0.46317851543426514,0.41954267024993896,0.4323391616344452,0.466510534286499,0.4654478132724762,0.4630431532859802,0.44538983702659607,0.440020352602005,0.8945918679237366,0.4410210847854614,0.43408334255218506,0.4257635772228241,10.564425468444824,0.48385077714920044,0.4384823143482208,0.4318152368068695
google/multiberts-seed_13,0.3856053948402405,0.37184059619903564,0.36824971437454224,0.3697602152824402,0.36961278319358826,0.37014010548591614,0.6140458583831787,4.574554920196533,0.36931470036506653,0.3684714436531067,0.3677586317062378,0.36950573325157166,0.36978399753570557,0.36897480487823486,0.3685734272003174,0.36859261989593506
google/multiberts-seed_14,1.201852798461914,0.3737154006958008,0.3736256957054138,0.3729523718357086,2.6111509799957275,0.38014858961105347,0.3728041648864746,0.3726569414138794,0.4321366250514984,0.3743270933628082,8.92389965057373,0.42374712228775024,0.37622055411338806,0.3755664527416229,0.3717329800128937,0.3793141841888428
google/multiberts-seed_15,10.122024536132812,0.3730461001396179,0.38951414823532104,0.38415542244911194,0.37335509061813354,0.37370944023132324,0.3710908591747284,0.37069275975227356,4.82487154006958,0.37079817056655884,0.3711589276790619,0.37153124809265137,0.3727283179759979,0.37498095631599426,0.372603178024292,0.37195873260498047
google/multiberts-seed_16,0.35241517424583435,0.3405418395996094,0.34166473150253296,6.472118377685547,0.3410229980945587,0.3414420783519745,0.34106841683387756,0.34087345004081726,0.34112057089805603,0.3403136730194092,0.3409954309463501,1.8158409595489502,0.34081971645355225,0.34103724360466003,0.3408389985561371,0.3411053419113159
google/multiberts-seed_17,0.4454520642757416,2.030916452407837,3.383509397506714,0.36885765194892883,0.3649198114871979,2.9397947788238525,0.37198927998542786,0.366996705532074,0.36471086740493774,0.3636018931865692,0.36220481991767883,0.363921195268631,0.36784282326698303,0.36685889959335327,0.5466334819793701,0.41473647952079773
google/multiberts-seed_18,0.35686713457107544,0.3357325792312622,0.33469894528388977,0.350608229637146,0.498485267162323,0.3351190388202667,0.3336844742298126,0.33382168412208557,0.33537930250167847,0.33411288261413574,0.33465757966041565,0.3359765112400055,0.33460086584091187,0.3352033793926239,0.3354817032814026,8.055668830871582
google/multiberts-seed_19,0.3853558897972107,0.9165666699409485,0.33141976594924927,0.3287665545940399,0.328691303730011,0.3287319242954254,1.1336097717285156,0.33027562499046326,0.32854214310646057,0.3284255564212799,2.079371452331543,0.3282054662704468,0.3284200429916382,3.8652820587158203,0.32765844464302063,0.3285311162471771
