model_number,val_loss
0,1.0505918264389038
1,0.4627619683742523
2,0.49929115176200867
3,0.48049360513687134
4,0.5375630855560303
5,0.46077612042427063
6,0.492115318775177
7,0.6007592082023621
8,0.4847289025783539
9,0.40914636850357056
10,0.42154213786125183
11,0.4672310948371887
12,0.5099118947982788
13,0.4762890636920929
14,0.44644564390182495
15,0.4772339463233948
16,0.4622502326965332
17,0.4825476109981537
18,0.45162567496299744
19,0.4083249568939209
20,0.4485113322734833
21,0.4045168459415436
22,0.459789514541626
23,0.46145957708358765
24,0.4829658567905426
mean,0.49355491757392883
std,0.1207382336360629
