model_number ,val_loss
0            ,0.27502569556236267
1            ,0.3578988313674927
2            ,0.3239189088344574
3            ,0.2800758183002472
4            ,0.3365928828716278
5            ,0.35738086700439453
6            ,0.38769739866256714
7            ,0.29018843173980713
8            ,0.3725074827671051
9            ,0.30018919706344604
10           ,0.37115800380706787
11           ,0.6608644723892212
12           ,0.28025326132774353
13           ,0.3199172019958496
14           ,0.28308436274528503
15           ,0.3686107397079468
16           ,0.403061181306839
17           ,0.5412696599960327
18           ,0.3524034023284912
19           ,0.31359922885894775
20           ,0.5432819128036499
21           ,0.2824406623840332
22           ,0.40560629963874817
23           ,0.29638031125068665
24           ,0.2909552752971649
mean         ,0.3597744596004486
std          ,0.0931384050363248
